date,usage_kwh,cost_dollars,temp_mean_f,temp_min_f,temp_max_f,legal_min_usage,legal_min_cost,excess_usage,excess_cost
2025-11-21,27.59,5.7,48.49,44.96,53.06,7.52296,1.609161144,20.06704,4.292339856
2025-11-22,23.33,4.82,47.17,37.04,51.98,8.70568,1.862144952,14.62432,3.128142048
2025-11-23,34.1,7.05,41.29,30.02,51.98,13.97416,2.989072824,20.12584,4.304917176
2025-11-24,29.76,6.15,44.69,37.04,53.06,10.92776,2.337447864,18.83224,4.028216136
2025-11-25,37.63,7.78,47.5,35.96,57.2,8.41,1.798899,29.22,6.250158
2025-11-26,25.5,5.27,56.52,48.92,60.98,0.32808,0.070176312,25.17192,5.384273688
2025-11-27,13.72,2.84,41.67,33.98,46.94,13.63368,2.916244152,0.08632,0.018463848
2025-11-28,3.2,0.66,35.92,30.92,42.08,18.78568,4.018256952,-15.58568,-3.333776952
2025-11-29,3.21,0.66,35.73,30.92,42.98,18.95592,4.054671288,-15.74592,-3.368052288
2025-11-30,63.31,13.09,37.74,32.0,42.8,17.15496,3.669445944,46.15504,9.872563056
2025-12-01,36.92,7.63,37.6,28.94,44.06,17.2804,3.69627756,19.6396,4.20091044
2025-12-02,50.44,10.43,35.35,28.94,42.8,19.2964,4.12749996,31.1436,6.66161604
2025-12-03,45.27,9.36,35.47,30.02,42.98,19.18888,4.104501432,26.08112,5.578751568
2025-12-04,51.06,10.56,34.3,26.96,41.0,20.2372,4.32873708,30.8228,6.59299692
2025-12-05,64.71,13.38,27.37,23.0,30.92,26.44648,5.656902072,38.26352,8.184566928
2025-12-06,46.81,9.68,33.67,28.04,42.08,20.80168,4.449479352,26.00832,5.563179648
2025-12-07,36.52,7.55,34.88,24.98,42.98,19.71752,4.217577528,16.80248,3.594050472
2025-12-08,46.89,9.69,29.37,23.0,35.06,24.65448,5.273593272,22.23552,4.756177728
2025-12-09,67.08,13.87,25.68,15.98,33.98,27.96072,5.980798008,39.11928,8.367613992
2025-12-10,51.64,10.68,38.55,30.92,46.04,16.4292,3.51420588,35.2108,7.53159012
2025-12-11,69.62,14.39,34.54,30.02,41.0,20.02216,4.282740024,49.59784,10.608977976
2025-12-12,64.36,13.31,29.84,24.98,35.96,24.23336,5.183515704,40.12664,8.583088296
2025-12-13,59.13,12.22,32.59,19.94,42.98,21.76936,4.656466104,37.36064,7.991440896
2025-12-14,65.38,13.52,27.05,17.96,33.08,26.7332,5.71823148,38.6468,8.26655052
2025-12-15,77.73,16.07,22.01,17.06,26.06,31.24904,6.684169656,46.48096,9.942277344
2025-12-16,62.5,12.92,25.66,15.98,33.08,27.97864,5.984631096,34.52136,7.384118904
2025-12-17,52.12,10.77,33.85,17.96,44.06,20.6404,4.41498156,31.4796,6.73348644
2025-12-18,45.28,9.36,39.2,24.98,51.98,15.8468,3.38963052,29.4332,6.29576148
2025-12-19,22.43,4.64,48.58,30.02,59.0,7.44232,1.591912248,14.98768,3.205864752
2025-12-20,45.54,9.41,31.75,26.06,37.94,22.522,4.8174558,23.018,4.9235502
2025-12-21,10.35,2.14,37.99,30.02,46.04,16.93096,3.621532344,-6.58096,-1.407667344
2025-12-22,20.27,4.19,31.71,23.0,39.02,22.55784,4.825121976,-2.28784,-0.489368976
2025-12-23,29.31,6.06,37.49,33.08,39.92,17.37896,3.717359544,11.93104,2.552049456
2025-12-24,48.33,9.99,41.04,32.0,50.0,14.19816,3.036986424,34.13184,7.300800576
2025-12-25,41.61,8.6,39.7,30.92,51.98,15.3988,3.29380332,26.2112,5.60657568
2025-12-26,41.95,8.67,26.89,24.08,30.02,26.87656,5.748896184,15.07344,3.224208816
2025-12-27,37.96,7.85,29.7,24.08,33.08,24.3588,5.21034732,13.6012,2.90929668
2025-12-28,49.67,10.27,29.66,23.0,35.06,24.39464,5.218013496,25.27536,5.406399504
2025-12-29,49.82,10.3,43.86,32.0,53.6,11.67144,2.496521016,38.14856,8.159976984
2025-12-30,70.05,14.92,30.9,28.94,33.08,23.2836,4.98036204,46.7664,10.00333296
2025-12-31,49.76,10.6,30.51,26.96,33.98,23.63304,5.055107256,26.12696,5.588556744
2026-01-01,35.88,7.64,27.72,21.02,35.06,26.13288,5.589823032,9.74712,2.084908968
2026-01-02,26.62,5.67,25.66,21.02,32.0,27.97864,5.984631096,-1.35864,-0.290613096
2026-01-03,29.03,6.18,26.17,19.94,30.02,27.52168,5.886887352,1.50832,0.322629648
2026-01-04,22.74,4.84,30.34,26.96,35.96,23.78536,5.087688504,-1.04536,-0.223602504
2026-01-05,25.17,5.36,32.38,24.98,37.04,21.95752,4.696713528,3.21248,0.687149472
2026-01-06,16.13,3.44,36.39,28.04,42.98,18.36456,3.928179384,-2.23456,-0.477972384
2026-01-07,12.17,2.59,46.13,39.02,55.94,9.63752,2.061465528,2.53248,0.541697472
2026-01-08,10.95,2.33,46.04,35.96,53.96,9.71816,2.078714424,1.23184,0.263490576
2026-01-09,8.3,1.77,43.79,30.92,53.96,11.73416,2.509936824,-3.43416,-0.734566824
2026-01-10,10.43,2.22,44.74,41.0,53.06,10.88296,2.327865144,-0.45296,-0.096888144
